id,title,price,size_ping,floor,type,address,latitude,longitude,source_591_url,original_591_id,images,original_image_urls,mrt_nearest_name,mrt_nearest_distance,bus_nearest_name,facilities,聯絡人,聯絡電話,Line聯絡,聯絡人身分,管理費,服務費,裝潢等級,衛浴等級,電表類型,電費,公用費用,停車位,停車費,電梯,洗衣機,變頻冷氣,垃圾代收,租屋補助,朝向,created_at,notes,簽約狀態,開伙狀況,網速,浴缸,熱水器形式
rent_lgabsgku2cgjjotw,龍山寺萬華火車站走7分鐘三套房出租剩兩間,14000,6,1F/1F,分租套房,臺北市萬華區莒光路,25.0312536,121.5023741,https://www.dd-room.com/object/lgabsgku2cgjjotw,lgabsgku2cgjjotw,/rentals_images/lgabsgku2cgjjotw/image_1.jpg,https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/2dee856cf5ffe751663a6b13e10d8708_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/c7102a3b1bbf3ae73ba9ffa2b8a9502c_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/660921f34133531f4869527ba60abd1e_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/0c1082ad40c4ac43559f32b75e1929d9_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/0814436796f47383103772a0882ef676_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/f78c3cabf4333e99674401d3f8a5dee1_766x510.jpg;https://static.dd-room.com/images/object/l/g/a/lgabsgku2cgjjotw/cover/7c6690f4c7cdb088dec676956987dec6_766x510.jpg,古亭,2130,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌子;椅子;電視;陽台;流理台;廚房,蘇培豪,907722133,@091cktsp,屋主,500元/月,無,不詳,,均攤,5元/度,均攤,無,不詳,有,有,不詳,有,是,不詳,2026-06-14T20:05:55.851062Z,,招租中,,,,
rent_1781474739651,大安捷運站!!小資族套房,15000,7,2F,獨立套房,台北市大安區復興南路一段,25.035197,121.543934,https://rent.591.com.tw/21306413,21306413,/rentals_images/21306413/image_1.jpg;/rentals_images/21306413/image_2.jpg;/rentals_images/21306413/image_3.jpg,https://img2.591.com.tw/house/2026/05/22/177942726569033400.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/05/22/177942727261669708.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2026/05/22/177942727381052408.jpg!1000x.water2.jpg,大安站,226,,冰箱;洗衣機;冷氣;熱水器,仲介: 王先生,0903-839-306,,仲介,無,半個月租金,5,5,不詳,不詳,不詳,不詳,不詳,無,有,不詳,不詳,不詳,不詳,2026-06-14T22:05:39.651562Z,,招租中,,,,
rent_21368338,★民權東路★短租議★代收垃圾★捷運行天宮★陽台★可貓狗★,15000,10,頂層加蓋,整層住家,台北市中山區民權東路二段,25.0624706,121.5311909,https://rent.591.com.tw/21368338,21368338,/rentals_images/21368338/image_1.jpg;/rentals_images/21368338/image_10.jpg;/rentals_images/21368338/image_2.jpg;/rentals_images/21368338/image_3.jpg;/rentals_images/21368338/image_4.jpg;/rentals_images/21368338/image_5.jpg;/rentals_images/21368338/image_6.jpg;/rentals_images/21368338/image_7.jpg;/rentals_images/21368338/image_8.jpg;/rentals_images/21368338/image_9.jpg,https://img2.591.com.tw/house/2025/07/05/175169620740527804.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/07/05/175169620710431808.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/07/05/175169620736689902.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2025/07/05/175169620705476703.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2025/07/05/175169620704928209.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/07/05/175169620704743407.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2025/07/05/175169620708108907.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2025/07/05/175169620708876004.jpg!1000x.water2.jpg;https://img1.591.com.tw/house/2025/07/05/175169620743405200.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2025/07/05/175169620743552305.jpg!1000x.water2.jpg,行天宮站,366,,冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;沙發;桌椅;1陽台,仲介: 洪先生,0952-000-742,@851tkhjm,仲介,無,半個月租金,4,4,不詳,8元/度,不詳,無,0,無,有,不詳,有,不詳,不詳,2026-06-09T18:32:16.355003Z,,招租中,,,,
rent_1781110679000,社宅包租代管萬華區成都路電梯套房,15000,11.7,8F,獨立套房,台北市萬華區成都路110號8樓之9,25.043652,121.50179,https://leasing-and-management.udd.gov.taipei/house/112,gov_112,/rentals_images/gov_112/image_1.jpg;/rentals_images/gov_112/image_2.jpg,https://leasing-and-management.udd.gov.taipei/housephotos/54042246-6bf6-471f-95e3-57c4e1c2b005.jpg;https://leasing-and-management.udd.gov.taipei/housephotos/51de4707-fe0f-4412-bf98-7b66de4d5c4a.jpg,西門站,600,,冷氣;熱水器;床;衣櫃;電梯;廚房;警衛,崔媽媽蝸牛租屋,02-23685670,,代理人,不詳,免,3,3,不詳,不詳,不詳,無,0,有,無,不詳,不詳,是,不詳,2026-06-11T00:57:59.000000Z,,招租中,,,,
rent_renco_41012,信義區小家庭首選｜2房1廳獨立廚房＋後陽台｜生活機能佳,15000,15,5F/4F,整層住家,台北市信義區松山路,25.0478623,121.5786184,https://renco.tw/commodity/41012,renco_41012,/rentals_images/renco_41012/image_1.jpg;/rentals_images/renco_41012/image_2.jpg;/rentals_images/renco_41012/image_3.jpg;/rentals_images/renco_41012/image_4.jpg;/rentals_images/renco_41012/image_5.jpg;/rentals_images/renco_41012/image_6.jpg;/rentals_images/renco_41012/image_7.jpg;/rentals_images/renco_41012/image_8.jpg,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/203cf9d1-39e1-43bd-865d-efd336c86e9a.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/c353691a-e244-4894-944f-1b7a331bae05.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/b6e9bdd4-ecae-47c3-82ab-fe15481ac7fb.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/4197c17e-16f5-4a97-82e9-a79ab516c764.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/a90f1d66-3e30-45f0-8a1a-409ae46552b1.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/39de856c-81eb-402a-8119-fa4be31367af.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/f40c5ad1-b4a3-4307-bada-b82571d6fc15.jpg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/41012/large/6946ac9a-9fc0-4853-b4a2-3dacbf428238.jpg,永春站,80,,變頻分離式冷氣;雙門冰箱;直立式洗衣機;床;衣櫃;沙發;桌椅;陽台;對外窗;廚房,曾文皓,925228731,@renco,租屋平台,無,無,4,3,不詳,不詳,0,無,0,無,有,變頻冷氣,不詳,不詳,不詳,2026-06-13T20:45:45Z,水費、網路、第四台、瓦斯全包,招租中,,,,
rent_gov_194,社宅包租代管大同區南京西路電梯套房,15500,9.86,14F,獨立套房,台北市大同區南京西路360之2號14樓之8,25.053675,121.511116,https://leasing-and-management.udd.gov.taipei/house/194,gov_194,/rentals_images/gov_194/image_1.jpg;/rentals_images/gov_194/image_2.jpg;/rentals_images/gov_194/image_3.jpg,https://leasing-and-management.udd.gov.taipei/housephotos/dd1b4df5-ad80-4748-811f-c0eabcc3e88a.jpg;https://leasing-and-management.udd.gov.taipei/housephotos/68e03f3f-9cb7-454b-9d5a-bf2c3d8338e2.jpg;https://leasing-and-management.udd.gov.taipei/housephotos/b854e2a8-0087-4307-b448-213b3690af14.jpg,北門站,600,,冷氣;熱水器;衣櫃;廚房;洗衣機;電梯;警衛;無障礙,崔媽媽蝸牛租屋,02-23685670,,代理人,不詳,免,1,1,不詳,不詳,不詳,無,不詳,有,有,不詳,有,是,不詳,2026-06-11T02:00:00.000000Z,,招租中,,,,
rent_liuzhangli-lab,六張犁實驗室 (Room E - 獨立套房),16000,6.1,2F/2F,獨立套房,台北市信義區光復南路461號,25.0312,121.5574,https://www.zuyou.com.tw/houses/liuzhangli-lab,liuzhangli-lab,/rentals_images/liuzhangli-lab/image_1.jpg,https://www.zuyou.com.tw/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbENIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4ff54290de8f65277c86ce3e176c1edbb29f9884/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBPZ2wzWldKd09oUnlaWE5wZW1WZmRHOWZiR2x0YVhSYkIya0MwQWRwQWdBQyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--763a18d729cec3cee96fcacd96b1eeb634bea3d9/S__105955350_0.jpg,六張犁,929,,冰箱;冷氣;熱水器;網路;洗衣機;廚房;陽台;床;衣櫃;桌子;椅子,租寓平台,02-2732-2212,@zuyou,代管,1600元/月,無,4,4,不詳,不詳,0,無,不詳,無,有,不詳,有,不詳,不詳,2026-06-14T20:32:40.097134Z,共生公寓家庭式合租， Room E,招租中,,,,
rent_v5r3lxx5msyx0r0k,近捷運龍山寺【優質雅房】大空間★精緻裝潢★對外窗,16000,9,4F/5F,獨立套房,臺北市萬華區艋舺大道,25.0342274,121.505164,https://www.dd-room.com/object/v5r3lxx5msyx0r0k,v5r3lxx5msyx0r0k,/rentals_images/v5r3lxx5msyx0r0k/image_1.jpg,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/temp/86171bb5-bca5-4fbe-b8b4-7e69e18f0ee5.png;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/temp/a50ea88b-ebf4-45df-aeaa-3bab73d66ea8.png;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/temp/fda20c80-61a4-4c63-8717-6b2c4b509284.png;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/temp/636a18ce-42eb-4809-989c-168f4386625a.png;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/temp/b7268b43-3cae-45fa-b6f2-59ab0bb91407.png,台北車站,1923,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌子;椅子;電視;陽台;流理台,仲介:曾先生,925228731,@GORENT,仲介,1000元/月,半個月租金,不詳,不詳,不詳,不詳,不詳,無,不詳,有,有,不詳,有,是,不詳,2026-06-14T20:09:05.3+AL36+T3+R36:AK36,,招租中,,,,
rent_1781474742131,要快✅大安捷運美套房✅住商賴經理,16000,10.4,頂層加蓋,整層住家,台北市大安區東豐街,25.035896,121.545568,https://rent.591.com.tw/21416957,21416957,/rentals_images/21416957/image_1.jpg;/rentals_images/21416957/image_2.jpg;/rentals_images/21416957/image_3.jpg;/rentals_images/21416957/image_4.jpg;/rentals_images/21416957/image_5.jpg,https://img2.591.com.tw/house/2026/03/07/177284877197698300.jpg!fit.1000x.water2.jpg;https://img1.591.com.tw/house/2026/03/07/177284845844182007.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/03/07/177284846624405706.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/03/07/177284848260590304.jpg!1000x.water2.jpg;https://img2.591.com.tw/house/2026/03/07/177284848727101009.jpg!1000x.water2.jpg,大安站,364,,冰箱;洗衣機;電視;冷氣;熱水器;床;天然瓦斯,仲介: 賴先生,0923-579-123,https://line.me/ti/p/3upPKQjGqF,仲介,無,半個月租金,4,4,不詳,不詳,0,無,不詳,無,有,不詳,不詳,不詳,不詳,2026-06-14T22:05:42.131354Z,,招租中,電熱爐,,無,
rent_ooh2gs5b9jfp7cwd,近捷運中山國小【超值租案】可開伙★獨洗衣機★衛浴有窗,16000,12,3F/5F,獨立套房,臺北市中山區林森北路,25.050584,121.5250197,https://www.dd-room.com/object/ooh2gs5b9jfp7cwd,ooh2gs5b9jfp7cwd,/rentals_images/ooh2gs5b9jfp7cwd/image_1.jpg,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/e89e2f64-1c46-48ea-83c3-ede58f1d99be.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/f695a0da-3bc6-4564-8c3e-190b30520bd4.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/2bf86c82-9dde-4022-bb6e-725e4c52551e.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/595a3d1f-18fb-4bf1-a23e-2ab067dc7f4d.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/dfa02813-563c-46e5-ba7d-f82fcc6e1744.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/8a7494de-b31b-4c65-9856-8784d6e20898.jpeg;https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/25012/medium/05e3b0f4-caf7-48c6-9262-d0b912e72cc0.jpeg,中山,526,,冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌子;椅子;電視;陽台;流理台,仲介:彭先生,903636793,@Renco,仲介,無,半個月租金,1,1,不詳,不詳,不詳,無,不詳,有,有,不詳,有,是,不詳,2026-06-14T20:09:06.709723Z,,招租中,,,,
