id,title,price,lat,lng,link,images,pros,cons,size_ping,floor,type,address,original_591_id,mrt_nearest_distance,facilities,聯絡人,聯絡電話,Line聯絡,聯絡人身分,管理費,服務費,裝潢等級,衛浴等級,電表類型,電費,公用費用,停車位,停車費,電梯,洗衣機,變頻冷氣,垃圾代收,,created_at,id,坪數,樓層,寵物
"rent_1780959493548","不詳","15999","25.0332273","121.5029371","https://rent.591.com.tw/21403940","/rentals_images/21403940/image_1.png;/rentals_images/21403940/image_2.png;/rentals_images/21403940/image_3.png;/rentals_images/21403940/image_4.png;/rentals_images/21403940/image_5.png;/rentals_images/21403940/image_6.png","","","10","4F","獨立套房","台北市萬華區艋舺大道","21403940","379","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;沙發;桌椅","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T22:58:13.548085Z","rent_1780959493548","","",""
"rental-1781014975220-0","捷運共構景觀套房","21000","25.0422","121.5435","https://rent.591.com.tw/home/1234","https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&q=80&w=400","採光好;交通方便;有管理員","","","","","","","","","","","","","","","","","","","","","","","","","","","","rental-1781014975220-0","8.5","10F/15F","不可"
"rental-1781014975220-1","溫馨獨立套房近夜市","18500","25.0333","121.5644","","https://images.unsplash.com/photo-1502672260266-1c1e52504427?auto=format&fit=crop&q=80&w=400","生活機能佳;近捷運站","沒有電梯","","","","","","","","","","","","","","","","","","","","","","","","","","","rental-1781014975220-1","6","4F/4F","可貓"
"rental-1781014975220-2","小資族首選靜巷套房","12000","25.0478","121.517","","","安靜;便宜","頂加;漏水疑慮","","","","","","","","","","","","","","","","","","","","","","","","","","","rental-1781014975220-2","5","頂層","不可"
"rental-1781014975220-3","中山國中站旁高級套房","25000","25.0619","121.544","","","新裝潢;有電梯;代收垃圾","價格高","","","","","","","","","","","","","","","","","","","","","","","","","","","rental-1781014975220-3","10","5F/7F","不可"
"rent_1780952615620","不詳","9000","25.059859","121.547596","https://rent.591.com.tw/21414812","/rentals_images/21414812/image_1.jpg;/rentals_images/21414812/image_2.jpg;/rentals_images/21414812/image_3.jpg;/rentals_images/21414812/image_4.jpg;/rentals_images/21414812/image_5.jpg;/rentals_images/21414812/image_6.jpg;/rentals_images/21414812/image_7.jpg;/rentals_images/21414812/image_8.jpg","","","7.2","B1","分租套房","台北市松山區敦化北路222巷","21414812","357","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;電梯","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","有","有","不詳","不詳","","2026-06-08T21:03:35.620405Z","rent_1780952615620","","",""
"rent_1780952800472","不詳","11000","25.0682659","121.5334396","https://rent.591.com.tw/20390403","/rentals_images/20390403/image_1.jpg;/rentals_images/20390403/image_2.jpg;/rentals_images/20390403/image_3.jpg;/rentals_images/20390403/image_4.jpg;/rentals_images/20390403/image_5.jpg;/rentals_images/20390403/image_6.jpg;/rentals_images/20390403/image_7.jpg","","","8","5F","分租套房","台北市中山區民族東路","20390403","0","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌椅","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T21:06:40.472431Z","rent_1780952800472","","",""
"rent_1780955417272","不詳","12500","25.06548","121.541845","https://rent.591.com.tw/21336197","/rentals_images/21336197/image_1.jpg;/rentals_images/21336197/image_2.jpg;/rentals_images/21336197/image_3.jpg;/rentals_images/21336197/image_4.jpg;/rentals_images/21336197/image_5.jpg;/rentals_images/21336197/image_6.jpg","","","8","6F","分租套房","台北市中山區龍江路397巷","21336197","575","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;第四台;網路;桌椅;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T21:50:17.272369Z","rent_1780955417272","","",""
"rent_1780955422520","不詳","13801","25.0569563","121.5529133","https://rent.591.com.tw/21401439","/rentals_images/21401439/image_1.jpg;/rentals_images/21401439/image_2.jpg;/rentals_images/21401439/image_3.jpg;/rentals_images/21401439/image_4.jpg;/rentals_images/21401439/image_5.jpg;/rentals_images/21401439/image_6.jpg;/rentals_images/21401439/image_7.jpg;/rentals_images/21401439/image_8.jpg;/rentals_images/21401439/image_9.jpg;/rentals_images/21401439/image_10.jpg;/rentals_images/21401439/image_11.jpg;/rentals_images/21401439/image_12.jpg;/rentals_images/21401439/image_13.jpg;/rentals_images/21401439/image_14.jpg;/rentals_images/21401439/image_15.jpg","","","14.5","2F","分租套房","台北市松山區民生東路四段80巷","21401439","598","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;天然瓦斯;沙發;桌椅","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T21:50:22.520729Z","rent_1780955422520","","",""
"rent_1780955426464","不詳","14000","25.056741","121.541739","https://rent.591.com.tw/21351251","/rentals_images/21351251/image_1.jpg;/rentals_images/21351251/image_2.jpg;/rentals_images/21351251/image_3.jpg;/rentals_images/21351251/image_4.jpg;/rentals_images/21351251/image_5.jpg;/rentals_images/21351251/image_6.jpg;/rentals_images/21351251/image_7.jpg;/rentals_images/21351251/image_8.jpg;/rentals_images/21351251/image_9.jpg;/rentals_images/21351251/image_10.jpg;/rentals_images/21351251/image_11.jpg;/rentals_images/21351251/image_12.jpg","","","8","5F","分租套房","台北市中山區龍江路223巷22號","21351251","514","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;天然瓦斯;桌椅","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T21:50:26.464999Z","rent_1780955426464","","",""
"rent_1780955429655","不詳","15000","25.0549481","121.5261269","https://rent.591.com.tw/21328599","/rentals_images/21328599/image_1.jpg;/rentals_images/21328599/image_2.jpg;/rentals_images/21328599/image_3.jpg;/rentals_images/21328599/image_4.jpg;/rentals_images/21328599/image_5.jpg;/rentals_images/21328599/image_6.jpg;/rentals_images/21328599/image_7.jpg;/rentals_images/21328599/image_8.jpg","","","7.35","7F","獨立套房","台北市中山區長春路","21328599","634","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;桌椅;電梯","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","有","有","不詳","不詳","","2026-06-08T21:50:29.655918Z","rent_1780955429655","","",""
"rent_1780955431961","不詳","13000","25.0594253","121.5424713","https://rent.591.com.tw/21372837","/rentals_images/21372837/image_1.jpg;/rentals_images/21372837/image_2.jpg;/rentals_images/21372837/image_3.jpg;/rentals_images/21372837/image_4.jpg;/rentals_images/21372837/image_5.jpg","","","10","頂層加蓋","獨立套房","台北市中山區錦州街","21372837","231","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;網路;沙發;桌椅;陽台","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","","2026-06-08T21:50:31.961818Z","rent_1780955431961","","",""
"rent_1781022430553","不詳","14500","25.0607657","121.5207513","https://rent.591.com.tw/21411598","/rentals_images/21411598/image_1.jpg;/rentals_images/21411598/image_2.jpg;/rentals_images/21411598/image_3.jpg;/rentals_images/21411598/image_4.jpg;/rentals_images/21411598/image_5.jpg;/rentals_images/21411598/image_6.jpg;/rentals_images/21411598/image_7.jpg;/rentals_images/21411598/image_8.jpg;/rentals_images/21411598/image_9.jpg;/rentals_images/21411598/image_10.jpg","","","10","2F","獨立套房","台北市大同區錦西街52巷3號","21411598","256","冰箱;洗衣機;冷氣;熱水器;床;衣櫃;桌子;陽台","仲介: 詹小姐","0925-332-758","","仲介","200元/月","半個月租金","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","坐東朝西","2026-06-09T16:27:10.553123Z","rent_1781022430553","","",""
"rent_1781022771152","不詳","14200","25.052729","121.538438","https://rent.591.com.tw/21372941","/rentals_images/21372941/image_1.jpg;/rentals_images/21372941/image_2.jpg;/rentals_images/21372941/image_3.jpg;/rentals_images/21372941/image_4.jpg;/rentals_images/21372941/image_5.jpg;/rentals_images/21372941/image_6.jpg;/rentals_images/21372941/image_7.jpg","","","8","頂層加蓋","獨立套房","台北市中山區南京東路三段89巷","21372941","546","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;網路;沙發;陽台","代理人: 黃小姐","0935-934-893","","代理人","無","無","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","不詳","不詳","2026-06-09T16:32:51.152955Z","rent_1781022771152","","",""
"rent_1781022772871","不詳","15000","25.044413","121.531592","https://rent.591.com.tw/21354922","/rentals_images/21354922/image_1.jpg;/rentals_images/21354922/image_2.jpg;/rentals_images/21354922/image_3.jpg;/rentals_images/21354922/image_4.jpg","","","8","4F","分租套房","台北市中正區八德路一段43巷","21354922","264","冰箱;洗衣機;電視;冷氣;熱水器;床;衣櫃;第四台;網路;桌椅;陽台","屋主: 李先生","0906-558-088","","屋主","無","無","不詳","不詳","不詳","不詳","不詳","不詳","不詳","無","有","不詳","有","不詳","2026-06-09T16:32:52.871414Z","rent_1781022772871","","",""
